id,name,add,phones
1,name1,init,"{111-222-333,444-555-666}"
2,name2,init,"{111-222-333,444-555-666,777-888-999}"
4,name4,init,"{111-222-333,444-555-666}"
5,name5,init,"{111-222-333,444-555-666,777-888-999}"
7,name7,init,"{111-222-333,444-555-666}"
8,name8,init,"{111-222-333,444-555-666,777-888-999}"
10,name10,init,"{111-222-333,444-555-666}"
11,name11,init,"{111-222-333,444-555-666,777-888-999}"
13,name13,init,"{111-222-333,444-555-666}"
14,name14,init,"{111-222-333,444-555-666,777-888-999}"
16,name16,init,"{111-222-333,444-555-666}"
17,name17,init,"{111-222-333,444-555-666,777-888-999}"
19,name19,init,"{111-222-333,444-555-666}"
20,name20,init,"{111-222-333,444-555-666,777-888-999}"
22,name22,init,"{111-222-333,444-555-666}"
23,name23,init,"{111-222-333,444-555-666,777-888-999}"
25,name25,init,"{111-222-333,444-555-666}"
26,name26,init,"{111-222-333,444-555-666,777-888-999}"
28,name28,init,"{111-222-333,444-555-666}"
29,name29,init,"{111-222-333,444-555-666,777-888-999}"
31,name31,init,"{111-222-333,444-555-666}"
32,name32,init,"{111-222-333,444-555-666,777-888-999}"
34,name34,init,"{111-222-333,444-555-666}"
35,name35,init,"{111-222-333,444-555-666,777-888-999}"
37,name37,init,"{111-222-333,444-555-666}"
38,name38,init,"{111-222-333,444-555-666,777-888-999}"
40,name40,init,"{111-222-333,444-555-666}"
41,name41,init,"{111-222-333,444-555-666,777-888-999}"
43,name43,init,"{111-222-333,444-555-666}"
44,name44,init,"{111-222-333,444-555-666,777-888-999}"
46,name46,init,"{111-222-333,444-555-666}"
47,name47,init,"{111-222-333,444-555-666,777-888-999}"
49,name49,init,"{111-222-333,444-555-666}"
50,name50,init,"{111-222-333,444-555-666,777-888-999}"
53,name53,init2,{129-122-122}
56,name56,init23,{129-122-122}
3,name3,init del fired,{111-222-333}
6,name6,init del fired,{111-222-333}
9,name9,init del fired,{111-222-333}
12,name12,init del fired,{111-222-333}
15,name15,init del fired,{111-222-333}
18,name18,init del fired,{111-222-333}
21,name21,init del fired,{111-222-333}
24,name24,init del fired,{111-222-333}
27,name27,init del fired,{111-222-333}
30,name30,init del fired,{111-222-333}
33,name33,init del fired,{111-222-333}
36,name36,init del fired,{111-222-333}
39,name39,init del fired,{111-222-333}
42,name42,init del fired,{111-222-333}
45,name45,init del fired,{111-222-333}
48,name48,init del fired,{111-222-333}
51,name51,init del fired,{123-123-133}
57,name57,init del fired,"{111-222-333,444-555-666}"
